lang,data_status,trait_clean,raw_contrasts,recommended_status,strict_status,flag,adaptation_note
af,dropped_quality,Usage of Polite Tone,Polite / Impolite,direct,direct,,
af,dropped_quality,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
af,dropped_quality,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
af,dropped_quality,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
af,dropped_quality,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
af,dropped_quality,Positive Sentiment Expression,Positive / Negative,direct,direct,,
af,dropped_quality,Usage of Active Voice,Active / Passive,direct,direct,,
af,dropped_quality,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
af,dropped_quality,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
af,dropped_quality,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
af,dropped_quality,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
af,dropped_quality,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
af,dropped_quality,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
af,dropped_quality,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
af,dropped_quality,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
af,dropped_quality,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
af,dropped_quality,Usage of Articles,With articles / Less frequent articles,direct,direct,,
af,dropped_quality,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
af,dropped_quality,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
af,dropped_quality,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
af,dropped_quality,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
af,dropped_quality,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
af,dropped_quality,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
af,dropped_quality,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
af,dropped_quality,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
af,dropped_quality,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
af,dropped_quality,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
af,dropped_quality,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
af,dropped_quality,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
af,dropped_quality,Usage of Formal Tone,Formal / Informal,direct,direct,,
af,dropped_quality,Complex Sentence Structure,Complex / Simple,direct,direct,,
af,dropped_quality,Usage of Contractions,With contractions / Without contractions,direct,direct,,
af,dropped_quality,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,direct,direct,,
af,dropped_quality,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
af,dropped_quality,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
