id,speaker,cosine
3,凯亚,0.7470581
4,派蒙,0.7849027
5,凯亚,0.7911638
6,派蒙,0.88870263
7,凯亚,0.89034456
9,凯亚,0.778209
10,深渊法师,-0.06590594
24,迪卢克,0.6946459
25,凯亚,0.79163027
26,派蒙,0.6150341
27,困扰的寻宝者,0.981462
28,困扰的寻宝者,0.63577884
30,派蒙,0.71792364
32,旅行者,0.8769588
33,旅行者,0.63003063
34,旅行者,0.73482764
35,旅行者,0.7960568
36,旅行者,0.86949563
37,旅行者,0.87533224
38,旅行者,0.5397986
39,旅行者,0.8446914
40,旅行者,0.72926795
41,旅行者,0.7732254
42,旅行者,0.40789005
43,派蒙,0.95433635
44,派蒙,0.75729495
45,派蒙,0.8791681
46,神,0.77861136
47,旅行者,0.7781565
48,神,0.7792801
66,旅行者,0.95156395
67,旅行者,1.0
68,旅行者,0.8687717
69,旅行者,0.87118775
70,旅行者,0.8570163
71,旅行者,0.8819734
72,旅行者,0.9310336
73,派蒙,0.8661973
74,派蒙,0.78110075
76,派蒙,0.8442209
77,派蒙,0.949121
78,派蒙,0.8630308
79,派蒙,0.36142218
80,派蒙,1.0000002
81,派蒙,0.6388433
82,派蒙,0.96516407
83,派蒙,0.88524127
85,派蒙,0.59090686
86,派蒙,0.9453918
88,派蒙,0.89777124
91,派蒙,0.9746791
92,派蒙,0.84984857
93,派蒙,0.9169138
94,派蒙,0.844728
96,派蒙,0.77772325
97,派蒙,0.93411684
98,派蒙,0.9108011
99,派蒙,0.9796722
100,派蒙,0.78654593
101,派蒙,0.7829186
102,派蒙,0.5132974
103,派蒙,0.98051226
104,派蒙,0.7411195
105,派蒙,0.93687403
106,谜之声,0.7469755
107,谜之声,0.97577333
108,谜之声,0.9720408
109,谜之声,0.81748235
110,谜之声,0.87187904
112,？？？,0.8947816
113,安柏,0.9698444
114,派蒙,0.5808296
115,派蒙,0.95449275
116,安柏,0.78369606
118,安柏,0.9983479
119,派蒙,0.78273356
120,安柏,0.7442368
121,派蒙,0.99999994
122,温迪,0.5572518
123,温迪,0.6974008
124,派蒙,0.7822722
127,温迪,1.0
135,派蒙,0.97891027
136,安柏,0.73271704
137,安柏,0.20910227
139,丽莎,0.9275203
140,琴,0.8273076
141,丽莎,0.790909
142,凯亚,0.50824034
144,派蒙,0.8845955
146,安柏,0.8711805
147,凯亚,0.94153
148,凯亚,1.0
152,安柏,0.91457176
160,派蒙,0.9765969
161,安柏,0.7331568
162,安柏,0.94242156
163,安柏,0.5119862
164,安柏,0.97324526
165,安柏,0.7847824
166,派蒙,0.9999998
167,派蒙,0.6561432
168,派蒙,0.80322146
169,琴,0.8417174
170,琴,0.4311357
171,琴,0.5597794
172,琴,0.9557838
173,派蒙,0.5799068
174,琴,0.75980115
175,旅行者,1.0000001
176,旅行者,1.0000001
177,琴,0.9999997
178,温迪,0.9074404
180,温迪,0.99999994
181,温迪,1.0
182,旅行者,1.0000001
183,派蒙,0.94141275
184,派蒙,0.8337736
185,派蒙,0.8992023
186,派蒙,0.8052797
187,派蒙,0.44515023
188,派蒙,0.27321342
189,派蒙,0.62051547
190,派蒙,0.7939715
191,安柏,0.98949516
193,安柏,0.8683095
194,安柏,0.9809956
195,安柏,0.66503453
196,旅行者,1.0000001
197,安柏,0.65246713
198,安柏,0.9836366
200,安柏,0.7989117
201,凯亚,0.95042646
202,旅行者,0.93354386
203,凯亚,0.40444958
204,凯亚,0.87364495
205,凯亚,0.9848912
206,凯亚,0.9098434
207,旅行者,0.9999999
208,凯亚,0.6276859
209,凯亚,0.81191206
210,凯亚,0.94646555
211,凯亚,0.9418048
213,凯亚,0.34904456
214,温迪,0.4822268
215,派蒙,0.9380779
217,商店老板02,0.96100694
218,派蒙,0.7219661
219,商店老板02,0.9405977
220,派蒙,0.8840969
222,商店老板02,0.5133692
223,旅行者,0.64765805
224,派蒙,0.64765805
225,派蒙,0.721022
226,温迪,0.49922094
227,派蒙,0.75039536
228,旅行者,0.400446
230,奥特,0.96100694
231,派蒙,0.7235341
232,派蒙,0.33930385
233,派蒙,0.40355244
234,温迪,0.7323679
243,派蒙,0.81317466
244,派蒙,0.92090404
245,温迪,0.46957117
246,派蒙,0.3761697
247,温迪,0.64607394
248,温迪,0.30466616
249,派蒙,0.90207875
250,温迪,0.95341885
251,温迪,0.8459164
252,迪卢克,0.89439505
253,温迪,0.5762487
254,温迪,0.8373144
255,温迪,0.25846282
256,温迪,0.9623366
257,温迪,0.76609075
258,迪卢克,0.87213564
261,迪卢克,0.97734845
262,派蒙,1.0
263,迪卢克,0.57618034
264,迪卢克,0.9802202
265,迪卢克,0.790784
266,琴,0.6051122
267,旅行者,0.74846315
268,旅行者,0.597786
269,温迪,0.8481646
270,琴,0.97894996
271,迪卢克,0.86933637
272,迪卢克,0.9334254
273,派蒙,0.8467887
274,琴,0.8638562
275,琴,0.8143994
276,迪卢克,1.0
277,迪卢克,0.8063991
278,迪卢克,0.87695813
279,迪卢克,0.9819225
280,迪卢克,0.9985331
281,派蒙,0.9535606
282,琴,0.986947
283,派蒙,0.9614278
284,琴,0.6358856
285,琴,0.64428616
287,琴,0.8790798
288,琴,0.6535345
289,派蒙,0.6935045
290,琴,0.97614306
291,派蒙,0.9003104
292,琴,1.0
293,派蒙,0.5470516
295,派蒙,0.8941866
296,迪卢克,0.73168814
297,迪卢克,0.96096116
298,派蒙,1.0
299,派蒙,0.6050365
300,派蒙,0.8025137
301,迪卢克,0.9671078
302,迪卢克,0.9415661
303,派蒙,0.9970944
304,迪卢克,0.96804255
305,迪卢克,0.99785215
306,迪卢克,0.93748647
307,派蒙,0.92110884
308,迪卢克,0.9568603
309,迪卢克,0.9379195
310,迪卢克,0.8414232
311,迪卢克,0.645204
312,迪卢克,0.87224615
313,派蒙,0.95276666
314,派蒙,0.9606825
315,派蒙,0.93627405
316,迪卢克,0.83018106
317,迪卢克,0.37235764
318,温迪,0.86949503
319,温迪,0.7261737
320,风龙,0.6814836
321,温迪,0.96479595
322,温迪,0.6330216
324,琴,0.528507
325,派蒙,0.7967691
326,深渊法师,0.8469152
327,深渊法师,0.8936701
328,深渊法师,0.9357209
329,风龙,1.0
330,深渊法师,0.8163326
331,深渊法师,0.9634996
332,风龙,0.9228358
333,温迪,0.48776367
334,风龙,0.8759711
335,风龙,0.9353875
336,温迪,1.0
343,风龙,0.2673375
344,温迪,0.89071894
345,温迪,0.8829837
347,琴,0.9489602
348,派蒙,0.7967691
349,深渊法师,0.9113358
350,深渊法师,0.799865
351,深渊法师,0.9792013
353,风龙,1.0
355,深渊法师,1.0
356,深渊法师,0.9212054
357,风龙,0.99999994
358,风龙,0.86138165
359,风龙,0.90209675
360,温迪,0.44477874
361,深渊法师,0.96752113
362,深渊法师,0.78353053
363,深渊法师,0.88171226
364,深渊法师,0.7877058
365,深渊法师,0.8645399
366,深渊法师,0.99999994
367,温迪,1.0
368,温迪,0.9999997
369,温迪,0.71375793
370,温迪,0.6562704
372,温迪,0.9692541
373,旅行者,0.41746438
374,温迪,0.93338645
375,旅行者,0.74965453
376,温迪,0.8791414
377,旅行者,0.72221714
378,旅行者,0.34851655
380,温迪,0.9500874
381,温迪,0.78730583
382,温迪,0.9714391
383,温迪,0.7987801
384,温迪,0.9775801
385,迪卢克,0.98165536
386,迪卢克,0.7639961
387,琴,0.8943834
388,琴,0.90749425
389,温迪,0.69110423
391,琴,0.99999976
392,温迪,0.80983055
393,温迪,0.941347
394,派蒙,1.0000001
395,旅行者,1.0
397,旅行者,0.94227755
398,温迪,0.9922161
399,温迪,0.765145
400,温迪,0.90092295
401,温迪,0.9765746
402,温迪,0.9654182
403,温迪,0.64070785
404,温迪,0.6662501
405,温迪,0.69741917
406,派蒙,0.91428286
407,派蒙,0.8837469
408,旅行者,0.81134516
409,旅行者,0.27417535
411,迪卢克,0.6773088
412,琴,0.82046854
413,派蒙,0.44494346
414,派蒙,0.8714647
415,迪卢克,0.8854887
416,温迪,0.9999999
417,温迪,0.74442196
418,温迪,0.87861896
419,琴,0.75596035
420,迪卢克,0.92654455
421,迪卢克,0.87144697
422,旅行者,0.72344476
423,旅行者,0.597786
424,派蒙,0.8680971
425,迪卢克,0.9240359
426,温迪,0.8809027
427,温迪,0.7890246
428,琴,0.8091637
429,琴,0.8842931
430,派蒙,1.0
431,派蒙,0.9489468
432,温迪,0.8139138
433,派蒙,0.9221858
434,派蒙,0.8842412
435,派蒙,0.97198004
436,迪卢克,0.61867857
437,迪卢克,0.9598991
438,温迪,0.7902671
439,温迪,0.85317534
440,温迪,0.98046887
441,派蒙,0.9921015
442,派蒙,0.7812244
443,派蒙,0.9999999
444,派蒙,0.81201535
445,派蒙,0.953274
446,派蒙,0.9647157
447,派蒙,0.8965555
448,派蒙,0.99729663
449,派蒙,0.95299786
450,派蒙,0.51645064
451,派蒙,0.8902153
452,温迪,0.86223716
453,温迪,0.88083583
454,迪卢克,0.61264706
455,迪卢克,0.58880365
456,琴,0.97761005
457,琴,0.9675093
458,芭芭拉,0.9065963
459,琴,0.7826351
460,派蒙,0.5033605
461,温迪,0.98701847
462,风魔龙,0.99999976
463,风魔龙,0.9413806
464,温迪,0.8779096
465,温迪,0.63323915
466,温迪,1.0000002
467,温迪,1.0
468,风魔龙,1.0
469,风魔龙,0.93077344
470,温迪,0.62936556
471,温迪,0.86049175
472,温迪,0.8981066
473,温迪,1.0
474,琴,0.9871663
475,琴,0.43099913
476,琴,0.8630491
477,琴,0.7766558
478,琴,0.8374478
479,琴,0.63968885
480,琴,0.5972004
481,温迪,0.9337118
482,温迪,0.49304613
483,温迪,0.34676194
502,芭芭拉,0.23792674
503,芭芭拉,0.686437
504,芭芭拉,0.87524724
506,温迪,0.9287287
507,芭芭拉,0.80583227
508,芭芭拉,0.8826799
509,派蒙,1.0
510,芭芭拉,0.5667298
511,芭芭拉,0.8416462
512,温迪,0.8434532
513,温迪,0.9827746
514,温迪,0.3887801
515,温迪,0.83745396
516,派蒙,0.99999994
517,派蒙,0.6781114
518,派蒙,0.99999994
541,旅行者,0.8013525
542,旅行者,0.9453885
546,旅行者,0.9999999
547,温迪,0.9682206
550,旅行者,0.95840836
553,旅行者,0.8362967
554,旅行者,0.87602437
558,温迪,1.0
559,温迪,0.9999999
563,旅行者,0.99999976
570,旅行者,0.8915404
571,旅行者,0.81157047
572,温迪,0.9084153
574,旅行者,0.71694726
578,旅行者,0.9706366
579,旅行者,1.0
580,旅行者,0.9999998
586,派蒙,0.8680971
587,派蒙,0.9868487
588,葛瑞丝,1.0000002
589,宁禄,0.99999994
590,塞琉斯,1.0
596,利文斯通博士,0.96921295
597,安柏,0.8669923
598,奥特,0.8232323
599,派蒙,0.88421893
600,派蒙,0.95037866
601,派蒙,0.9114092
602,雷泽,0.40867606
604,派蒙,0.96794474
615,派蒙,0.9388098
616,派蒙,0.99999994
617,旅行者,0.9358499
618,旅行者,0.8661233
619,派蒙,0.9079616
620,派蒙,0.69423646
621,雷泽,1.0
631,派蒙,0.90310055
632,派蒙,0.9709704
633,派蒙,0.9771831
634,派蒙,0.9721706
635,塞琉斯,0.9504229
636,塞琉斯,0.92577904
637,斯坦利,0.9698628
638,杰克,0.9901203
639,派蒙,0.7144381
640,派蒙,0.84266216
641,派蒙,0.98242927
642,派蒙,0.91789347
643,派蒙,0.99999994
644,派蒙,-0.05741986
645,派蒙,0.8277583
646,凯亚,0.8270036
647,伊扎德,0.8771072
648,凯亚,0.842607
649,伊扎德,0.9541026
650,凯亚,0.96805376
652,凯亚,0.6588452
653,派蒙,0.9154651
654,派蒙,0.9870598
655,派蒙,0.58222294
656,派蒙,0.96389365
657,派蒙,0.21456641
658,派蒙,0.8820608
659,派蒙,0.8889231
660,派蒙,0.9010441
661,派蒙,0.81630456
662,迪卢克,0.9162507
663,迪卢克,0.9879012
664,派蒙,0.8450475
665,派蒙,0.55967844
666,派蒙,0.613611
667,派蒙,0.65978724
668,派蒙,0.94400215
669,派蒙,0.65124583
670,派蒙,0.3885366
671,迪卢克,0.9419118
672,派蒙,0.4524198
673,派蒙,0.9637844
674,派蒙,0.9999999
675,派蒙,0.4315809
676,派蒙,0.92905354
677,派蒙,0.95771134
678,派蒙,0.98367435
679,派蒙,1.0000002
680,派蒙,0.58161116
681,派蒙,1.0000002
682,派蒙,0.9785406
683,派蒙,0.8276339
684,派蒙,0.9999998
685,派蒙,0.944458
686,派蒙,0.7470429
687,派蒙,0.973451
688,派蒙,0.58161116
689,安柏,0.9197382
690,安柏,1.0
691,安柏,0.50534475
692,安柏,0.86765134
693,旅行者,0.7013212
694,安柏,0.91355807
695,旅行者,0.9375114
696,安柏,0.5410102
697,安柏,0.9612115
698,安柏,0.93967116
699,安柏,0.83245945
700,安柏,0.7063668
701,派蒙,0.9788984
702,派蒙,0.98193336
703,派蒙,0.9438088
704,派蒙,0.27076685
705,安柏,0.9710781
706,派蒙,0.99999994
707,旅行者,0.9419387
708,安柏,0.89362776
709,派蒙,0.6798835
710,派蒙,1.0000001
711,「怪鸟」,0.96730596
712,安柏,0.9265643
713,派蒙,0.9726942
714,派蒙,0.61552984
715,派蒙,0.616089
716,派蒙,0.73001957
717,安柏,0.7988938
718,安柏,0.8458643
719,安柏,0.9386029
720,莎拉,0.7816396
721,派蒙,0.7622478
722,派蒙,0.8100821
723,派蒙,0.9512433
724,派蒙,0.9318773
725,派蒙,0.8474989
726,派蒙,0.8211462
727,派蒙,0.622754
728,派蒙,0.8517662
729,派蒙,1.0
730,派蒙,0.9765857
731,派蒙,0.42815447
732,派蒙,0.9267818
733,莎拉,0.8294047
734,莎拉,1.0
735,莎拉,0.49735737
736,莎拉,0.9735459
737,莎拉,0.39931017
738,莎拉,0.91414404
739,派蒙,0.8913022
740,莎拉,0.87920165
741,莎拉,0.5986666
742,莎拉,0.88559645
743,派蒙,0.8461635
744,莎拉,0.7300664
745,莎拉,0.72301286
746,派蒙,0.67938876
747,派蒙,0.8579676
748,琴,0.87735045
749,琴,0.9999998
750,琴,1.0
751,琴,0.99999994
752,派蒙,0.77359104
753,派蒙,0.890437
754,派蒙,0.8830152
755,旅行者,0.9999999
756,芭芭拉,0.96282303
757,旅行者,0.95367944
758,旅行者,0.96006465
759,派蒙,1.0
760,派蒙,0.99999976
761,派蒙,0.99999994
762,派蒙,0.99999994
763,派蒙,1.0000002
764,派蒙,0.9999999
765,派蒙,0.9999999
766,派蒙,0.9999999
767,派蒙,1.0000002
768,派蒙,1.0
769,琳琅,0.9740797
770,观海,0.4347048
771,博来,0.8035011
772,派蒙,0.8180058
773,派蒙,0.82688963
774,派蒙,0.9279711
775,凝光,1.0
776,凝光,1.0
799,玉京台 潜入AI1,0.73613036
800,玉京台 潜入AI2,0.83928066
801,玉京台 潜入AI3,1.0000002
802,玉京台 潜入AI4,1.0
803,民众,0.9539255
804,民众,0.9525375
805,民众,0.9596944
806,民众,0.8728601
807,派蒙,0.7749226
808,玉京台 潜入AI1,0.9999999
809,「公子」,0.58027065
811,「公子」,0.9999996
812,玉京台 潜入AI1,1.0
813,玉京台 潜入AI1,0.99999994
814,玉京台 潜入AI1,1.0000002
847,派蒙,0.94413865
848,派蒙,0.9658512
849,派蒙,0.9999998
850,派蒙,0.6838298
851,派蒙,0.35448167
852,派蒙,0.8470858
853,派蒙,0.95584774
854,魈,0.4740194
864,派蒙,0.8844292
865,派蒙,0.9784994
866,派蒙,0.9353649
867,派蒙,0.8979169
868,派蒙,0.9416171
869,派蒙,0.786574
870,派蒙,0.9486772
871,派蒙,0.8720461
872,鸿如,0.33766237
873,鸿如,0.4077688
882,派蒙,0.9467224
883,派蒙,0.8116092
884,钟离,0.46540678
885,钟离,0.92938316
886,钟离,0.99331594
887,派蒙,0.839195
888,派蒙,0.92080224
889,派蒙,0.92039543
890,派蒙,1.0
891,派蒙,0.98325145
892,派蒙,0.7792739
893,派蒙,0.8207183
894,派蒙,0.9255767
895,派蒙,0.9737422
896,派蒙,0.8742752
