id,speaker,x,y
3,凯亚,7.008453,3.897819
4,派蒙,6.9853125,6.03282
5,凯亚,8.810471,5.152425
6,派蒙,4.4866557,3.2618349
7,凯亚,8.221856,4.3455734
9,凯亚,4.288789,5.5201826
10,深渊法师,15.897188,4.258826
24,迪卢克,4.275606,1.7371752
25,凯亚,10.004747,6.7491574
26,派蒙,4.528225,2.0282469
27,困扰的寻宝者,10.801289,9.456039
28,困扰的寻宝者,9.826886,9.03253
30,派蒙,6.584953,8.864927
32,旅行者,6.611216,4.7821774
33,旅行者,5.785433,9.318256
34,旅行者,4.6369996,7.78567
35,旅行者,7.9847007,5.9999413
36,旅行者,7.306196,8.690635
37,旅行者,7.667453,9.380121
38,旅行者,5.432055,8.47034
39,旅行者,8.122906,8.382617
40,旅行者,4.4239264,7.6076655
41,旅行者,14.895135,6.1119366
42,旅行者,5.2977047,9.281976
43,派蒙,0.9390879,0.9766152
44,派蒙,9.027129,8.224733
45,派蒙,2.9011135,5.564624
46,神,6.7800717,9.823457
47,旅行者,14.237367,3.5649939
48,神,-0.44089237,4.541507
66,旅行者,5.472174,2.7341666
67,旅行者,8.939648,5.2717466
68,旅行者,1.2251767,3.5199978
69,旅行者,6.729905,7.996313
70,旅行者,4.041855,7.1405096
71,旅行者,9.786613,6.734531
72,旅行者,10.851704,6.285664
73,派蒙,4.3500113,0.33576712
74,派蒙,8.990827,4.1938767
76,派蒙,4.059246,7.749698
77,派蒙,3.3426106,2.109002
78,派蒙,5.903467,2.2194772
79,派蒙,6.599074,7.766012
80,派蒙,0.70663065,7.5712786
81,派蒙,1.3780817,0.10886658
82,派蒙,0.009027618,4.597033
83,派蒙,5.3294086,5.020815
85,派蒙,5.9470778,7.72445
86,派蒙,7.958832,5.2751126
88,派蒙,5.7329183,6.606132
91,派蒙,2.9908578,3.1382973
92,派蒙,4.762752,5.3824024
93,派蒙,3.331126,3.2399437
94,派蒙,4.994113,5.896043
96,派蒙,5.656425,9.5790205
97,派蒙,9.856258,6.48578
98,派蒙,9.048838,5.719896
99,派蒙,2.1457088,0.094560385
100,派蒙,2.662049,6.8031
101,派蒙,4.084424,8.502272
102,派蒙,1.4813985,7.9550505
103,派蒙,11.145001,8.289676
104,派蒙,-0.42181247,4.130725
105,派蒙,10.334818,5.333965
106,谜之声,7.805988,4.783238
107,谜之声,-2.108941,-0.5107664
108,谜之声,-0.73907787,-1.5173237
109,谜之声,1.6252304,3.3060682
110,谜之声,-0.7343754,3.437292
112,？？？,2.7411196,2.25452
113,安柏,0.63302433,3.9822416
114,派蒙,9.725645,8.562912
115,派蒙,8.910141,5.071152
116,安柏,3.228236,3.6111627
118,安柏,11.801527,6.9879313
119,派蒙,3.0763328,4.8290534
120,安柏,5.5278463,6.1096597
121,派蒙,2.095796,6.2450056
122,温迪,0.6004581,6.3412795
123,温迪,5.2190905,2.522921
124,派蒙,1.6158836,6.085825
127,温迪,15.470042,4.1226883
135,派蒙,7.120621,4.8381906
136,安柏,7.6242156,5.26863
137,安柏,2.9773033,3.4886742
139,丽莎,3.5751128,3.2691562
140,琴,7.113905,8.284067
141,丽莎,9.90124,5.524982
142,凯亚,2.751048,4.333567
144,派蒙,3.4779809,7.0870056
146,安柏,1.1028517,10.293657
